,Descriptor,Train,Test,Classifier,Scaler,Acc. avg,Acc. std,Sens.,Spec.
51,EfficientNet_V2_s,BUID,BrEaST,Rbf SVC,z-score,77.38095238095238,,57.14285714285714,90.25974025974025
52,MobileNet_V2,BrEaST,BrEaST,Rbf SVC,z-score,72.25882352941177,6.735908012094944,46.94736842105263,88.27956989247312
53,MobileNet_V2,BrEaST,BUID,Rbf SVC,z-score,62.93103448275862,,35.77235772357724,93.57798165137615
54,MobileNet_V2,BUID,BUID,Rbf SVC,z-score,74.10730804810362,5.782712211927918,68.23333333333332,80.6060606060606
55,MobileNet_V2,BUID,BrEaST,Rbf SVC,z-score,73.4126984126984,,46.93877551020408,90.25974025974025
56,ResNet50,BrEaST,BrEaST,Rbf SVC,z-score,73.88235294117646,9.040929615061621,47.89473684210526,90.25806451612904
57,ResNet50,BrEaST,BUID,Rbf SVC,z-score,66.8103448275862,,44.71544715447154,91.74311926605505
58,ResNet50,BUID,BUID,Rbf SVC,z-score,73.2377428307123,6.48041308496894,66.63333333333334,80.6060606060606
59,ResNet50,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,,59.183673469387756,88.31168831168831
60,Swin_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,78.21960784313725,5.7128843231334585,69.42105263157895,83.78494623655914
61,Swin_V2_s,BrEaST,BUID,Rbf SVC,z-score,75.43103448275862,,66.66666666666666,85.3211009174312
62,Swin_V2_s,BUID,BUID,Rbf SVC,z-score,80.15726179463459,5.066306961244487,77.26666666666668,83.41991341991343
63,Swin_V2_s,BUID,BrEaST,Rbf SVC,z-score,75.79365079365078,,75.51020408163265,75.97402597402598
