,Descriptor,Train,Test,Classifier,Scaler,Acc.,Acc. CI_l,Acc. CI_u,Sens.,Spec.
36,LBP-8-2-ror,BrEaST,BrEaST,Rbf SVC,z-score,75.41176470588235,69.71063721611733,80.32034704656564,62.10526315789473,83.76344086021504
42,LBP-8-2-uniform,BUID,BUID,Rbf SVC,z-score,67.19703977798333,60.514355015536395,72.55871042004588,69.93333333333334,64.1991341991342
43,LBP-8-2-uniform,BUID,BrEaST,Rbf SVC,z-score,51.98412698412699,45.31844377406555,58.07366550137878,63.26530612244898,44.8051948051948
41,LBP-8-2-uniform,BrEaST,BUID,Rbf SVC,z-score,62.5,56.172721358437585,68.06103664379948,56.91056910569105,68.80733944954129
40,LBP-8-2-uniform,BrEaST,BrEaST,Rbf SVC,z-score,76.24313725490197,70.54888753235639,81.04556498853542,63.1578947368421,84.43010752688173
54,MobileNet_V2,BUID,BUID,Rbf SVC,z-score,74.1073080481036,67.67608505509803,78.96541748226159,68.23333333333332,80.60606060606061
55,MobileNet_V2,BUID,BrEaST,Rbf SVC,z-score,73.4126984126984,67.22386742058931,78.56960779790924,46.93877551020408,90.25974025974025
53,MobileNet_V2,BrEaST,BUID,Rbf SVC,z-score,62.93103448275862,56.575757241616955,68.43973488972453,35.77235772357724,93.57798165137615
52,MobileNet_V2,BrEaST,BrEaST,Rbf SVC,z-score,72.25882352941177,66.38004629166507,77.39706493818252,46.94736842105263,88.27956989247312
2,Morphological,BUID,BUID,Rbf SVC,z-score,77.57631822386679,71.31862165806652,82.10709943018179,77.26666666666667,77.96536796536796
3,Morphological,BUID,BrEaST,Rbf SVC,z-score,78.96825396825396,73.15772231883581,83.66010804485683,74.48979591836735,81.81818181818183
1,Morphological,BrEaST,BUID,Rbf SVC,z-score,71.55172413793103,65.55269299036306,76.66094998127568,64.22764227642277,79.81651376146789
0,Morphological,BrEaST,BrEaST,Rbf SVC,z-score,73.05098039215686,67.20946059385547,78.13111889420095,51.89473684210526,86.38709677419355
58,ResNet50,BUID,BUID,Rbf SVC,z-score,73.23774283071232,66.77230301622147,78.17314488341599,66.63333333333334,80.60606060606062
59,ResNet50,BUID,BrEaST,Rbf SVC,z-score,76.98412698412699,70.86078391074821,81.716909858639,59.183673469387756,88.31168831168831
57,ResNet50,BrEaST,BUID,Rbf SVC,z-score,66.8103448275862,60.62927834275372,72.20355507963198,44.71544715447154,91.74311926605505
56,ResNet50,BrEaST,BrEaST,Rbf SVC,z-score,73.88235294117648,68.04099037916092,78.86305736710437,47.89473684210526,90.25806451612904
62,Swin_V2_s,BUID,BUID,Rbf SVC,z-score,80.1572617946346,74.0821485998934,84.43173640152139,77.26666666666667,83.41991341991341
63,Swin_V2_s,BUID,BrEaST,Rbf SVC,z-score,75.79365079365078,69.4916914382729,80.54192037453107,75.51020408163265,75.97402597402598
61,Swin_V2_s,BrEaST,BUID,Rbf SVC,z-score,75.43103448275862,69.71063721611733,80.32034704656564,66.66666666666666,85.3211009174312
60,Swin_V2_s,BrEaST,BrEaST,Rbf SVC,z-score,78.21960784313727,72.6551211012207,82.84800206519323,69.42105263157895,83.78494623655914
